Species,Population,Collection,ID,Sex,Age,Location,Latitude,Longitude,Altitude,Collector,Date collected,Photos,Scanned,Cleaned,Landmarked,Species correction,doubt,Other notes
subtropicus,subtropicus,QM,JM19750,Female,Adult,"Harland Road, off Mt Glorious Rd",-27.346,152.773,423,Baker & Mutton,1/09/2011,ok,ok,ok,ok,,o,
stuartii,?,CSIRO,CM674,Male,Adult,Mount Glorious S.E Qld,-27.3333,152.7667,572,,,ok,ok,ok,ok,exclude?,P3 partially erupted.,
stuartii,?,CSIRO,CM675,Female,Adult,Mount Glorious S.E Qld,-27.3333,152.7667,572,,,ok,ok,ok,ok,exclude?,P3 partially erupted.,
subtropicus,subtropicus,QM,J10471,Female,Adult,Mt Glorious,-27.333,152.767,572,E. Williams,13/03/1960,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,J11098,Female,Adult,Mt Glorious SEQ,-27.333,152.767,572,D. Bryce,14/11/1961,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,J11443,Male,Adult,Mt Glorious SEQ,-27.333,152.767,572,C. Bryce,5/03/1962,ok,ok,ok,ok,,o,Workshop No. 2362
subtropicus,subtropicus,QM,J13235,Female,Adult,Mt Glorious SEQ,-27.333,152.767,572,R. Rick,8/06/1964,ok,ok,ok,ok,,o,Q. M. Workshop No. 3144 - Skin mounted and donated to Dr. R. J. Rick
subtropicus,subtropicus,QM,J13244,Female,Adult,Mt Glorious,-27.333,152.767,572,R. Rick,8/06/1964,ok,ok,ok,ok,,o,Q. M. Workshop No. 3145
subtropicus,subtropicus,QM,J16158,Male,Adult,Mt Glorious SEQ,-27.333,152.767,572,C. S. I. R. O.,12/05/1964,ok,ok,ok,ok,,o,Q. M. Workshop No 3114
subtropicus,subtropicus,QM,J16458,Male,Adult,Mt Glorious (Parish of Dundas),-27.333,152.767,572,J. Covacevich / T. Tebble,14/06/1968,ok,ok,ok,ok,,o,Work Shop Nook no 4861
subtropicus,subtropicus,QM,J16535,Male,Adult,Mt Glorious (rainforest),-27.333,152.767,572,T. Tebble / J. Covacevich,14/06/1968,ok,ok,ok,ok,,o,Q. M. Workshop No 4863
subtropicus,subtropicus,QM,J16543,Male,Adult,Mt Glorious SEQ,-27.333,152.767,572,T. Tebble / J. Covacevich,14/06/1968,ok,ok,ok,ok,,o,template? Q. M. Workshop 4862
subtropicus,subtropicus,QM,J17410,Male,Adult,Mt Glorious (Parish of Dundas),-27.333,152.767,572,J. Covacevich / T. Tebble,12/06/1968,ok,ok,ok,ok,,o,Q. M. Workshop 4847
subtropicus,subtropicus,QM,JM100,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,24/09/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM108,Male,Adult?,presumably Mt. Glorious SEQ,-27.333,152.767,572,presumably R. Braithwaite,00/09/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM11445,Female,Adult,"Mt Glorious, near Forest Station",-27.333,152.767,572,J. Kucers,22/10/1996,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM134,Female,Adult,Mt Glorious SEQ,-27.333,152.767,572,R. Braithwaite,15/09/1973,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM145,Female,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/05/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM146,Male,Adult,Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/05/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM149,Male,Adult,"presumably Mt. Glorious 27�20'S, 152�46'E",-27.333,152.767,572,R. Braithwaite,00/05/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM151,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM152,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM153,Male,Adult,"presumably Mt. Glorious 27�20'S, 152�46'E",-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,o,Female?
subtropicus,subtropicus,QM,JM154,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM155,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM156,Female,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM157,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM158,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM163,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,A. Hiller,00/06/1972,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM165,Unknown,Adult,unknown,-27.333,152.767,572,A. Hiller,00/06/1972,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM166,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,29/09/1971,ok,ok,ok,ok,,o,Female?
subtropicus,subtropicus,QM,JM167,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,29/09/1971,ok,ok,ok,ok,,o,Female?
subtropicus,subtropicus,QM,JM168,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,29/09/1971,ok,ok,ok,ok,,o,Female?
subtropicus,subtropicus,QM,JM170,Female,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,29/09/1971,ok,ok,ok,ok,,o,Unknown?
subtropicus,subtropicus,QM,JM187,Female,Adult,"Mt Glorious 27�20'S, 152�46'E",-27.333,152.767,572,R. Braithwaite,26/03/1972,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM188,Female,Adult,Mt Glorious SEQ,-27.333,152.767,572,R. Braithwaite,26/03/1972,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM1912,Female,Adult,Mt Glorious Brisbane SEQ,-27.333,152.767,572,D. Joffe,30/07/1976,ok,ok,ok,ok,,o,Bled for serum. Field # MTGl
subtropicus,subtropicus,QM,JM1913,Female,Adult,Mt Glorious SEQ,-27.333,152.767,572,D. Joffe,30/07/1976,ok,ok,ok,ok,,o,Bled for serum. Field # MtGl
subtropicus,subtropicus,QM,JM200,Female,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,3/10/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM205,Female,Adult,Mt Glorious SEQ,-27.333,152.767,572,R. Braithwaite,28/10/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM210,Female,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,ok,,o,
subtropicus,subtropicus,QM,JM213,Male,Adult,Mt Glorious,-27.333,152.767,572,D. Braithwaite,29/05/1971,ok,ok,ok,ok,,o,template?
